enrollment_id,employee_id,course_id,enrolled_date,completed_date,progress,ratings,feedback
46,144,12,2023-03-09,2023-07-10,45,2.7,It was a decent experience overall.
47,161,11,2023-01-07,2023-02-25,2,1.3,I would not recommend this course.
48,264,21,2023-04-20,2023-07-31,83,3.8,Average course with some useful content.
49,395,6,2023-11-04,2023-12-24,53,4.7,Very informative and well structured.
50,234,22,2024-02-07,2024-03-11,10,2.0,"Poorly organized, I expected better."
51,128,7,2023-10-05,2023-11-11,99,2.5,It was a decent experience overall.
52,352,24,2024-02-07,2024-04-10,65,3.6,The course met my expectations.
53,218,14,2023-10-18,2024-02-02,58,2.3,"Poorly organized, I expected better."
54,493,3,2023-05-22,2023-08-08,67,4.3,"The instructor was great, learned a lot!"
55,81,7,2023-02-18,2023-03-22,80,2.7,Average course with some useful content.
56,342,16,2024-10-02,2025-01-01,52,2.9,"The course was okay, not too bad."
57,46,20,2023-03-06,2023-05-04,30,2.8,It was a decent experience overall.
58,44,21,2024-01-06,2024-05-28,7,4.1,"Excellent course, highly recommend!"
59,449,2,2024-05-25,2024-11-11,62,3.5,"The course was okay, not too bad."
60,253,6,2023-02-07,2023-07-31,30,2.7,Average course with some useful content.
61,121,15,2024-08-03,2024-12-26,71,1.3,"Not worth the time, very disappointing."
62,375,15,2023-10-22,2024-04-02,66,3.3,"The course was okay, not too bad."
63,306,21,2023-06-03,2023-08-09,86,2.4,The content was outdated and irrelevant.
64,362,17,2023-04-13,2023-09-12,59,1.2,"Poorly organized, I expected better."
65,181,17,2023-08-03,2023-12-23,84,2.3,"Poorly organized, I expected better."
66,130,12,2023-03-11,2023-08-03,38,2.8,"The course was okay, not too bad."
67,68,19,2023-04-02,2023-07-09,85,4.9,"The instructor was great, learned a lot!"
68,379,9,2024-06-04,2024-07-26,91,3.4,Average course with some useful content.
69,236,16,2023-12-19,2024-03-27,93,1.6,I didn't learn anything new from this course.
70,306,12,2024-01-16,2024-04-27,57,2.1,"Not worth the time, very disappointing."
71,289,19,2023-03-30,2023-09-12,60,1.4,"Poorly organized, I expected better."
72,466,13,2024-06-11,2024-07-18,8,3.2,Average course with some useful content.
73,250,22,2024-02-08,2024-06-18,68,1.9,The content was outdated and irrelevant.
74,272,11,2024-07-25,2024-11-07,6,2.3,"Poorly organized, I expected better."
75,213,1,2023-10-31,2024-01-26,47,4.6,I really enjoyed this course.
76,318,12,2023-03-31,2023-07-12,64,2.5,The course met my expectations.
77,137,18,2023-05-31,2023-10-15,7,4.5,"The instructor was great, learned a lot!"
78,407,10,2023-11-14,2024-03-26,29,4.2,The materials provided were very helpful.
79,308,14,2022-11-02,2022-12-05,77,3.4,"The course was okay, not too bad."
80,152,14,2022-10-20,2023-03-09,61,4.1,"The instructor was great, learned a lot!"
81,424,21,2022-10-16,2022-12-03,40,4.3,"The instructor was great, learned a lot!"
82,149,22,2023-05-02,2023-06-29,34,2.2,I didn't learn anything new from this course.
83,255,24,2024-05-28,2024-10-02,86,2.2,"Poorly organized, I expected better."
84,329,8,2023-10-05,2024-01-20,3,4.3,"Excellent course, highly recommend!"
85,191,2,2022-10-20,2023-01-03,66,4.0,"The instructor was great, learned a lot!"
86,57,9,2024-09-02,2025-01-12,44,3.7,The course met my expectations.
87,384,11,2024-08-10,2024-11-09,72,3.6,"The course was okay, not too bad."
88,202,8,2023-09-14,2023-12-25,52,1.4,I didn't learn anything new from this course.
89,262,11,2022-10-11,2022-11-12,60,2.3,"Poorly organized, I expected better."
90,347,21,2023-07-14,2023-10-30,62,1.3,I would not recommend this course.
91,462,21,2023-06-07,2023-10-25,71,4.4,Very informative and well structured.
92,160,4,2023-03-24,2023-08-04,49,3.3,The course met my expectations.
93,486,21,2024-03-24,2024-06-21,30,4.5,Very informative and well structured.
94,280,17,2024-03-14,2024-08-14,71,1.1,The content was outdated and irrelevant.
95,477,7,2023-11-30,2024-01-22,73,2.1,I didn't learn anything new from this course.
96,383,18,2023-11-23,2024-04-24,56,1.1,"Not worth the time, very disappointing."
97,204,16,2023-02-27,2023-05-12,45,3.2,"The course was okay, not too bad."
98,407,3,2024-07-25,2024-10-21,96,1.3,"Poorly organized, I expected better."
99,295,14,2024-01-31,2024-06-05,23,4.7,I really enjoyed this course.
100,49,14,2023-12-28,2024-06-02,52,3.4,The course met my expectations.
101,159,22,2023-08-09,2023-09-22,66,4.9,Very informative and well structured.
102,152,6,2023-08-16,2023-12-15,71,1.4,"Not worth the time, very disappointing."
103,446,15,2024-09-25,2024-10-30,27,1.9,"Poorly organized, I expected better."
104,342,7,2023-05-13,2023-08-05,21,3.6,"The course was okay, not too bad."
105,432,10,2023-06-27,2023-11-15,52,4.6,"Excellent course, highly recommend!"
106,441,8,2023-03-19,2023-07-21,66,1.0,"Not worth the time, very disappointing."
107,471,17,2023-05-14,2023-06-19,93,3.1,"The course was okay, not too bad."
108,289,19,2022-12-04,2023-01-20,23,3.7,The course met my expectations.
109,76,6,2022-11-06,2023-01-24,40,4.3,"Excellent course, highly recommend!"
110,4,3,2024-08-26,2024-11-30,43,4.1,"The instructor was great, learned a lot!"
111,388,15,2024-03-16,2024-08-24,36,4.9,"Excellent course, highly recommend!"
112,97,17,2024-04-01,2024-05-16,41,2.0,"Not worth the time, very disappointing."
113,236,1,2024-09-22,2025-01-30,76,3.8,"Not much to say, it was a standard course."
114,207,10,2023-10-22,2023-12-22,60,1.8,"Poorly organized, I expected better."
115,9,21,2024-02-20,2024-04-25,10,4.4,Very informative and well structured.
116,181,24,2023-12-16,2024-03-21,73,1.4,I would not recommend this course.
117,210,22,2024-03-29,2024-05-01,42,1.5,I would not recommend this course.
118,468,7,2024-01-09,2024-06-24,39,2.7,"The course was okay, not too bad."
119,260,8,2024-06-24,2024-11-11,96,2.5,The course met my expectations.
120,370,21,2022-11-26,2023-03-28,52,3.4,"Not much to say, it was a standard course."
121,204,11,2022-10-29,2023-03-27,39,3.3,It was a decent experience overall.
122,498,22,2022-10-16,2023-02-27,91,3.7,The course met my expectations.
123,419,2,2023-02-26,2023-07-30,70,1.9,The content was outdated and irrelevant.
124,468,20,2023-11-02,2024-01-24,2,4.6,"The instructor was great, learned a lot!"
125,388,1,2023-06-19,2023-08-17,53,3.2,"The course was okay, not too bad."
126,427,17,2023-11-04,2024-01-28,35,3.2,The course met my expectations.
127,27,13,2024-09-28,2025-03-08,99,3.3,The course met my expectations.
128,21,6,2023-12-01,2024-03-12,17,1.2,"Not worth the time, very disappointing."
129,193,23,2024-02-22,2024-06-18,59,1.3,I would not recommend this course.
130,8,17,2024-08-10,2024-09-23,91,4.2,"The instructor was great, learned a lot!"
131,40,3,2023-05-22,2023-09-12,1,2.4,The content was outdated and irrelevant.
132,477,17,2022-11-19,2023-04-08,66,4.6,The materials provided were very helpful.
133,48,10,2024-07-05,2024-11-19,64,4.3,Very informative and well structured.
134,222,19,2024-08-08,2024-10-31,85,2.5,Average course with some useful content.
135,443,18,2024-01-08,2024-02-16,81,4.2,"The instructor was great, learned a lot!"
136,202,14,2024-02-24,2024-06-05,14,2.9,The course met my expectations.
137,349,11,2022-12-31,2023-06-15,58,3.1,Average course with some useful content.
138,87,22,2023-02-17,2023-05-25,30,3.7,The course met my expectations.
139,160,9,2023-09-07,2024-01-29,52,2.9,"The course was okay, not too bad."
140,135,21,2023-09-22,2024-01-10,3,1.2,"Not worth the time, very disappointing."
141,9,11,2023-12-25,2024-02-06,43,2.1,"Poorly organized, I expected better."
142,251,22,2023-06-10,2023-09-21,31,1.4,"Not worth the time, very disappointing."
143,26,15,2024-09-24,2024-11-03,76,4.0,I really enjoyed this course.
144,407,2,2023-09-10,2023-10-18,59,3.2,Average course with some useful content.
145,213,2,2023-12-21,2024-06-09,14,3.8,"The course was okay, not too bad."
146,66,11,2023-09-03,2023-12-15,80,1.5,"Not worth the time, very disappointing."
147,132,17,2023-01-14,2023-02-16,22,3.4,Average course with some useful content.
148,494,2,2024-09-29,2024-11-01,56,3.9,"The course was okay, not too bad."
149,400,9,2023-07-12,2023-09-08,70,3.3,It was a decent experience overall.
150,283,22,2023-05-29,2023-07-05,67,4.3,I really enjoyed this course.
151,466,24,2023-02-14,2023-06-06,16,1.0,The content was outdated and irrelevant.
152,285,20,2023-03-01,2023-06-23,45,3.5,The course met my expectations.
153,446,19,2023-10-08,2024-04-04,45,2.5,The course met my expectations.
154,17,15,2023-03-23,2023-04-25,39,4.7,Very informative and well structured.
155,486,22,2023-12-30,2024-05-14,57,4.2,"The instructor was great, learned a lot!"
156,470,4,2022-10-30,2023-02-20,24,2.3,The content was outdated and irrelevant.
157,286,9,2023-12-10,2024-02-05,53,1.7,I didn't learn anything new from this course.
158,285,13,2023-04-01,2023-05-15,86,1.1,"Poorly organized, I expected better."
159,349,14,2022-11-25,2023-04-30,21,3.7,It was a decent experience overall.
160,95,20,2024-08-14,2025-02-05,46,4.5,Very informative and well structured.
161,318,16,2022-10-30,2022-12-17,62,4.8,"Excellent course, highly recommend!"
162,204,5,2024-05-02,2024-07-04,39,3.3,"The course was okay, not too bad."
163,435,23,2023-09-25,2023-12-23,84,4.4,I really enjoyed this course.
164,286,6,2024-08-23,2024-10-18,45,3.2,It was a decent experience overall.
165,205,9,2023-09-29,2023-12-18,14,1.4,I would not recommend this course.
166,276,9,2023-04-10,2023-05-22,44,1.2,The content was outdated and irrelevant.
167,484,4,2024-05-30,2024-09-10,15,4.8,Very informative and well structured.
168,495,6,2024-09-17,2025-02-14,94,3.5,"The course was okay, not too bad."
169,391,17,2023-06-18,2023-10-30,21,2.4,The content was outdated and irrelevant.
170,45,3,2022-12-25,2023-03-12,15,4.4,Very informative and well structured.
171,465,9,2022-11-11,2023-01-23,61,2.9,It was a decent experience overall.
172,407,18,2022-11-26,2023-01-12,12,1.5,"Not worth the time, very disappointing."
173,67,8,2022-12-13,2023-01-19,76,2.5,The course met my expectations.
174,431,3,2023-08-02,2024-01-22,9,4.2,I really enjoyed this course.
175,108,16,2024-01-13,2024-03-19,44,5.0,I really enjoyed this course.
176,230,18,2024-09-04,2024-12-22,34,4.3,The materials provided were very helpful.
177,269,11,2024-05-27,2024-09-19,96,1.0,I didn't learn anything new from this course.
178,435,24,2022-10-24,2023-02-06,81,4.5,"Excellent course, highly recommend!"
179,134,16,2024-05-25,2024-10-14,46,1.2,I would not recommend this course.
180,257,22,2023-06-17,2023-11-15,20,3.8,Average course with some useful content.
181,150,2,2023-11-29,2024-02-01,74,3.9,Average course with some useful content.
182,63,9,2024-05-22,2024-08-01,83,3.7,"The course was okay, not too bad."
183,155,19,2023-04-16,2023-06-13,17,4.5,"The instructor was great, learned a lot!"
184,419,24,2023-10-06,2024-03-30,69,2.4,The content was outdated and irrelevant.
185,453,20,2024-03-27,2024-05-03,4,3.9,The course met my expectations.
186,33,20,2024-02-12,2024-08-03,59,1.2,I would not recommend this course.
187,399,5,2023-07-06,2023-10-16,43,3.1,"The course was okay, not too bad."
188,180,22,2022-11-20,2023-01-03,78,2.6,The course met my expectations.
189,425,3,2023-08-22,2023-09-30,11,2.5,Average course with some useful content.
190,155,7,2023-01-12,2023-03-11,26,4.4,"Excellent course, highly recommend!"
191,441,18,2024-07-24,2024-09-17,74,1.1,The content was outdated and irrelevant.
192,466,5,2024-09-24,2025-02-16,81,4.3,"The instructor was great, learned a lot!"
193,180,7,2023-08-31,2024-01-06,18,2.6,The course met my expectations.
194,31,9,2023-05-09,2023-09-16,100,4.4,The materials provided were very helpful.
195,314,12,2022-10-13,2023-01-03,60,1.0,The content was outdated and irrelevant.
196,210,15,2024-02-10,2024-04-23,31,3.0,Average course with some useful content.
197,163,1,2023-04-29,2023-07-02,84,2.3,I didn't learn anything new from this course.
198,419,5,2024-05-22,2024-09-24,75,3.6,"The course was okay, not too bad."
199,219,5,2023-03-24,2023-08-19,3,3.2,"Not much to say, it was a standard course."
200,428,20,2023-01-29,2023-06-03,98,3.2,It was a decent experience overall.
201,494,16,2023-05-29,2023-07-16,39,2.1,"Not worth the time, very disappointing."
202,75,12,2024-08-16,2024-11-02,58,3.6,It was a decent experience overall.
203,86,4,2023-03-05,2023-08-02,51,3.2,It was a decent experience overall.
204,461,21,2022-11-02,2023-01-20,24,3.7,"Not much to say, it was a standard course."
205,160,20,2024-02-12,2024-03-26,20,2.6,It was a decent experience overall.
206,483,7,2022-12-15,2023-03-31,85,3.5,"Not much to say, it was a standard course."
207,417,5,2024-03-21,2024-09-02,0,4.0,"The instructor was great, learned a lot!"
208,11,21,2023-03-13,2023-07-17,39,3.7,"The course was okay, not too bad."
209,458,11,2024-06-28,2024-08-14,26,1.4,The content was outdated and irrelevant.
210,86,11,2023-01-02,2023-06-28,38,1.5,The content was outdated and irrelevant.
211,217,3,2024-05-04,2024-08-06,33,3.2,It was a decent experience overall.
212,87,14,2023-02-21,2023-05-11,94,4.3,"Excellent course, highly recommend!"
213,149,20,2023-10-26,2024-01-04,100,4.8,"The instructor was great, learned a lot!"
214,445,10,2024-09-24,2025-02-12,58,3.4,"The course was okay, not too bad."
215,407,9,2023-07-19,2023-11-10,18,3.1,"Not much to say, it was a standard course."
216,395,23,2023-06-17,2023-10-15,1,4.8,The materials provided were very helpful.
217,318,3,2023-05-07,2023-06-25,0,3.0,Average course with some useful content.
218,78,22,2024-03-19,2024-07-02,71,1.4,I would not recommend this course.
219,424,20,2023-10-02,2023-11-23,86,1.5,The content was outdated and irrelevant.
220,253,4,2022-11-17,2022-12-26,71,2.1,I didn't learn anything new from this course.
221,12,4,2024-08-13,2025-01-28,34,3.9,"The course was okay, not too bad."
222,50,10,2023-07-25,2023-12-02,49,3.5,"The course was okay, not too bad."
223,391,7,2024-03-05,2024-04-21,61,2.6,"Not much to say, it was a standard course."
224,456,17,2024-01-10,2024-03-15,25,3.5,Average course with some useful content.
225,430,8,2024-01-02,2024-03-24,84,4.4,"The instructor was great, learned a lot!"
226,335,11,2024-06-14,2024-11-25,48,1.7,The content was outdated and irrelevant.
227,10,5,2023-10-05,2023-11-05,58,1.1,I didn't learn anything new from this course.
228,220,11,2023-12-31,2024-06-15,99,1.0,"Not worth the time, very disappointing."
229,286,2,2023-12-27,2024-05-20,15,2.9,The course met my expectations.
230,48,6,2023-04-09,2023-06-30,15,1.7,The content was outdated and irrelevant.
231,179,14,2023-11-25,2024-01-12,25,1.9,"Poorly organized, I expected better."
232,275,12,2024-07-08,2024-12-18,30,1.5,I would not recommend this course.
233,411,20,2023-04-24,2023-07-20,86,1.6,"Poorly organized, I expected better."
234,216,12,2022-12-23,2023-05-04,54,1.1,The content was outdated and irrelevant.
235,364,3,2023-12-03,2024-01-27,89,2.2,"Poorly organized, I expected better."
236,100,13,2022-12-08,2023-05-11,10,2.8,The course met my expectations.
237,363,19,2023-04-07,2023-09-24,18,3.7,It was a decent experience overall.
238,151,6,2023-08-19,2024-02-10,17,4.9,Very informative and well structured.
239,318,23,2023-10-21,2024-04-17,14,1.2,"Not worth the time, very disappointing."
240,379,18,2023-07-11,2023-12-01,43,3.1,Average course with some useful content.
241,465,15,2023-07-21,2024-01-14,68,1.0,"Not worth the time, very disappointing."
242,408,24,2023-11-11,2024-01-26,40,1.5,I would not recommend this course.
243,346,14,2024-03-23,2024-08-31,13,2.9,It was a decent experience overall.
244,450,17,2023-09-04,2023-12-12,53,2.7,"Not much to say, it was a standard course."
245,254,20,2023-04-08,2023-07-29,51,3.8,Average course with some useful content.
246,119,10,2023-07-22,2023-09-19,92,4.5,Very informative and well structured.
247,377,19,2023-04-08,2023-05-30,47,1.1,"Not worth the time, very disappointing."
248,82,23,2023-08-30,2024-01-19,50,3.9,"The course was okay, not too bad."
249,67,1,2023-03-05,2023-07-23,26,1.4,"Poorly organized, I expected better."
250,371,2,2024-04-20,2024-09-30,39,4.3,The materials provided were very helpful.
251,350,2,2023-08-22,2023-10-13,49,3.9,"The course was okay, not too bad."
252,183,14,2022-12-31,2023-05-11,72,3.4,"Not much to say, it was a standard course."
253,133,12,2024-08-18,2024-12-14,34,3.8,The course met my expectations.
254,268,4,2024-02-09,2024-07-26,38,2.4,The content was outdated and irrelevant.
255,156,22,2023-02-15,2023-06-27,82,4.7,Very informative and well structured.
256,213,18,2023-01-15,2023-04-14,4,3.8,Average course with some useful content.
257,276,1,2023-11-17,2024-02-28,60,4.4,Very informative and well structured.
258,318,6,2024-07-02,2024-09-06,24,2.9,The course met my expectations.
259,442,7,2022-10-10,2023-03-20,44,4.4,The materials provided were very helpful.
260,80,4,2023-10-18,2024-02-19,75,2.8,Average course with some useful content.
261,404,5,2024-09-16,2025-01-16,69,1.4,"Not worth the time, very disappointing."
262,36,19,2023-07-09,2023-09-12,71,1.3,The content was outdated and irrelevant.
263,252,2,2024-01-31,2024-06-23,54,3.0,"Not much to say, it was a standard course."
264,446,13,2023-08-26,2023-09-28,100,4.6,"Excellent course, highly recommend!"
265,126,18,2022-10-12,2023-03-24,19,2.2,The content was outdated and irrelevant.
266,399,4,2023-09-07,2023-12-31,6,2.0,"Not worth the time, very disappointing."
267,438,20,2023-10-04,2024-03-30,16,2.0,"Not worth the time, very disappointing."
268,222,6,2024-07-29,2025-01-11,68,3.8,The course met my expectations.
269,364,10,2023-08-04,2023-10-05,60,1.7,I would not recommend this course.
270,466,7,2024-07-31,2024-12-04,8,4.5,Very informative and well structured.
271,420,11,2023-07-23,2023-08-29,74,4.5,The materials provided were very helpful.
272,471,1,2024-05-23,2024-10-07,80,3.2,Average course with some useful content.
273,270,11,2022-12-15,2023-04-20,89,2.5,It was a decent experience overall.
274,229,18,2023-12-31,2024-02-24,56,1.3,I didn't learn anything new from this course.
275,483,23,2024-08-19,2025-01-13,96,3.3,"Not much to say, it was a standard course."
276,215,17,2022-12-26,2023-02-18,94,4.8,"The instructor was great, learned a lot!"
277,245,13,2023-01-27,2023-07-19,29,4.0,"The instructor was great, learned a lot!"
278,63,23,2022-12-26,2023-04-17,63,4.8,"The instructor was great, learned a lot!"
279,119,22,2023-08-03,2023-10-25,58,3.9,It was a decent experience overall.
280,163,3,2023-04-18,2023-07-28,65,4.2,"Excellent course, highly recommend!"
281,188,7,2023-02-01,2023-04-11,78,3.3,The course met my expectations.
282,280,20,2024-08-29,2024-10-01,0,3.8,Average course with some useful content.
283,493,1,2024-03-28,2024-08-22,60,1.9,"Poorly organized, I expected better."
284,214,3,2024-04-19,2024-07-16,59,2.5,It was a decent experience overall.
285,346,10,2023-06-19,2023-09-12,81,1.3,The content was outdated and irrelevant.
286,189,13,2024-06-11,2024-07-18,32,2.1,I would not recommend this course.
287,251,14,2024-04-07,2024-06-14,55,3.1,It was a decent experience overall.
288,16,10,2023-08-04,2023-12-06,95,1.3,I didn't learn anything new from this course.
289,494,17,2022-11-05,2023-03-10,49,2.7,Average course with some useful content.
290,225,13,2023-01-06,2023-03-26,31,3.7,It was a decent experience overall.
291,59,17,2023-06-19,2023-07-30,53,3.0,"Not much to say, it was a standard course."
292,488,9,2022-11-11,2023-01-17,11,1.8,I didn't learn anything new from this course.
293,371,8,2022-11-27,2023-02-01,49,4.2,"The instructor was great, learned a lot!"
294,213,5,2022-11-12,2023-02-03,68,3.7,"Not much to say, it was a standard course."
295,248,19,2023-07-26,2023-10-19,75,2.5,It was a decent experience overall.
296,81,18,2023-08-13,2023-10-16,41,3.4,"Not much to say, it was a standard course."
297,216,3,2023-10-28,2024-02-04,76,2.9,"The course was okay, not too bad."
298,51,6,2024-07-24,2024-09-22,80,2.1,"Poorly organized, I expected better."
299,228,3,2023-04-07,2023-08-13,80,2.1,"Poorly organized, I expected better."
300,406,14,2022-12-06,2023-04-02,39,3.5,The course met my expectations.
301,250,9,2023-10-07,2024-02-17,95,2.4,I would not recommend this course.
302,230,20,2023-07-07,2023-08-06,90,2.5,The course met my expectations.
303,279,16,2023-05-16,2023-09-04,92,4.0,The materials provided were very helpful.
304,483,16,2023-01-15,2023-06-30,99,3.3,Average course with some useful content.
305,303,5,2023-04-28,2023-09-12,60,3.3,It was a decent experience overall.
306,199,18,2023-12-24,2024-05-13,18,3.2,Average course with some useful content.
307,71,17,2024-02-29,2024-04-24,40,2.3,"Not worth the time, very disappointing."
308,276,20,2022-12-08,2023-01-07,38,3.8,The course met my expectations.
309,225,12,2024-03-10,2024-05-25,34,4.3,The materials provided were very helpful.
310,90,8,2024-02-29,2024-06-01,50,4.9,I really enjoyed this course.
311,203,2,2024-03-02,2024-05-04,41,1.2,The content was outdated and irrelevant.
312,486,21,2024-04-10,2024-05-14,89,3.3,It was a decent experience overall.
313,202,6,2024-01-22,2024-04-16,100,3.6,"Not much to say, it was a standard course."
314,306,7,2024-01-25,2024-05-23,52,2.4,I would not recommend this course.
315,377,5,2023-04-13,2023-07-13,48,4.0,"The instructor was great, learned a lot!"
316,459,19,2023-05-07,2023-08-01,86,2.0,"Not worth the time, very disappointing."
317,436,10,2023-03-04,2023-04-20,61,1.3,The content was outdated and irrelevant.
318,441,4,2023-09-24,2023-10-28,43,1.7,"Not worth the time, very disappointing."
319,425,10,2023-12-07,2024-01-19,64,3.3,"The course was okay, not too bad."
320,74,20,2022-12-03,2023-01-18,90,3.9,The course met my expectations.
321,149,10,2024-07-17,2024-10-10,38,3.9,"Not much to say, it was a standard course."
322,240,17,2024-05-30,2024-10-13,14,1.2,The content was outdated and irrelevant.
323,250,18,2024-01-02,2024-02-03,40,4.9,Very informative and well structured.
324,121,19,2023-10-14,2024-01-10,55,2.6,"The course was okay, not too bad."
325,284,12,2023-07-06,2023-12-23,18,2.5,It was a decent experience overall.
326,130,7,2023-10-18,2024-02-23,30,1.3,I would not recommend this course.
327,450,16,2023-11-06,2024-01-01,76,4.2,"Excellent course, highly recommend!"
328,189,19,2023-06-16,2023-07-29,74,3.2,"The course was okay, not too bad."
329,115,21,2024-02-24,2024-07-08,77,1.5,The content was outdated and irrelevant.
330,267,1,2023-05-17,2023-10-25,28,1.9,The content was outdated and irrelevant.
331,308,20,2023-07-31,2023-09-22,87,4.7,I really enjoyed this course.
332,452,20,2024-03-21,2024-08-06,73,3.3,"The course was okay, not too bad."
333,355,1,2024-10-05,2024-11-18,100,4.3,I really enjoyed this course.
334,145,17,2023-09-19,2023-10-23,76,1.8,"Poorly organized, I expected better."
335,498,12,2023-03-21,2023-08-07,0,3.8,It was a decent experience overall.
336,152,2,2023-06-19,2023-12-07,6,2.9,It was a decent experience overall.
337,200,13,2024-03-29,2024-07-10,25,3.9,The course met my expectations.
338,285,17,2023-04-02,2023-05-21,33,2.6,Average course with some useful content.
339,248,4,2022-11-19,2023-02-15,2,1.6,"Poorly organized, I expected better."
340,159,8,2024-09-11,2025-02-25,86,1.5,"Not worth the time, very disappointing."
341,209,18,2024-01-03,2024-05-15,32,2.2,The content was outdated and irrelevant.
342,180,5,2023-11-03,2023-12-29,22,1.2,"Poorly organized, I expected better."
343,384,18,2024-06-28,2024-09-15,97,4.5,I really enjoyed this course.
344,276,7,2024-09-16,2025-02-20,88,3.6,It was a decent experience overall.
345,289,2,2023-06-01,2023-10-25,18,4.3,"The instructor was great, learned a lot!"
346,465,14,2024-05-24,2024-07-14,61,4.9,"Excellent course, highly recommend!"
347,212,24,2022-10-27,2023-02-10,99,4.6,"Excellent course, highly recommend!"
348,494,19,2024-06-30,2024-09-07,31,4.5,The materials provided were very helpful.
349,275,2,2023-11-10,2024-03-30,24,4.1,I really enjoyed this course.
350,279,21,2023-08-04,2024-01-21,10,1.1,I didn't learn anything new from this course.
351,445,23,2024-08-28,2024-11-01,58,1.3,I didn't learn anything new from this course.
352,71,6,2023-04-19,2023-09-25,31,4.1,I really enjoyed this course.
353,442,4,2023-02-14,2023-04-01,59,2.8,The course met my expectations.
354,106,2,2024-08-31,2024-10-24,91,2.3,"Not worth the time, very disappointing."
355,216,19,2023-04-19,2023-07-13,23,1.1,I would not recommend this course.
356,191,6,2023-01-25,2023-06-17,51,1.7,I didn't learn anything new from this course.
357,132,11,2024-04-29,2024-09-28,48,2.7,"Not much to say, it was a standard course."
358,231,1,2023-07-26,2024-01-22,53,4.0,The materials provided were very helpful.
359,103,10,2024-07-25,2024-09-17,37,2.4,"Not worth the time, very disappointing."
360,377,22,2024-08-19,2024-12-13,88,1.8,I would not recommend this course.
361,189,12,2023-03-07,2023-06-07,0,1.1,"Not worth the time, very disappointing."
