enrollment_id,employee_id,course_id,enrolled_date,completed_date,progress,ratings,category
170,45,3,2022-12-25,2023-03-12,15,4.4,Positive
171,465,9,2022-11-11,2023-01-23,61,2.9,Positive
172,407,18,2022-11-26,2023-01-12,12,1.5,Negative
173,67,8,2022-12-13,2023-01-19,76,2.5,Neutral
174,431,3,2023-08-02,2024-01-22,9,4.2,Positive
175,108,16,2024-01-13,2024-03-19,44,5.0,Positive
176,230,18,2024-09-04,2024-12-22,34,4.3,Positive
177,269,11,2024-05-27,2024-09-19,96,1.0,Positive
178,435,24,2022-10-24,2023-02-06,81,4.5,Positive
179,134,16,2024-05-25,2024-10-14,46,1.2,Neutral
180,257,22,2023-06-17,2023-11-15,20,3.8,Positive
181,150,2,2023-11-29,2024-02-01,74,3.9,Positive
182,63,9,2024-05-22,2024-08-01,83,3.7,Negative
183,155,19,2023-04-16,2023-06-13,17,4.5,Positive
184,419,24,2023-10-06,2024-03-30,69,2.4,Negative
185,453,20,2024-03-27,2024-05-03,4,3.9,Neutral
186,33,20,2024-02-12,2024-08-03,59,1.2,Neutral
187,399,5,2023-07-06,2023-10-16,43,3.1,Negative
188,180,22,2022-11-20,2023-01-03,78,2.6,Neutral
189,425,3,2023-08-22,2023-09-30,11,2.5,Positive
190,155,7,2023-01-12,2023-03-11,26,4.4,Positive
191,441,18,2024-07-24,2024-09-17,74,1.1,Negative
192,466,5,2024-09-24,2025-02-16,81,4.3,Positive
193,180,7,2023-08-31,2024-01-06,18,2.6,Neutral
194,31,9,2023-05-09,2023-09-16,100,4.4,Positive
195,314,12,2022-10-13,2023-01-03,60,1.0,Negative
196,210,15,2024-02-10,2024-04-23,31,3.0,Positive
197,163,1,2023-04-29,2023-07-02,84,2.3,Positive
198,419,5,2024-05-22,2024-09-24,75,3.6,Negative
199,219,5,2023-03-24,2023-08-19,3,3.2,Negative
200,428,20,2023-01-29,2023-06-03,98,3.2,Positive
201,494,16,2023-05-29,2023-07-16,39,2.1,Negative
202,75,12,2024-08-16,2024-11-02,58,3.6,Positive
203,86,4,2023-03-05,2023-08-02,51,3.2,Positive
204,461,21,2022-11-02,2023-01-20,24,3.7,Negative
205,160,20,2024-02-12,2024-03-26,20,2.6,Positive
206,483,7,2022-12-15,2023-03-31,85,3.5,Negative
207,417,5,2024-03-21,2024-09-02,0,4.0,Positive
208,11,21,2023-03-13,2023-07-17,39,3.7,Negative
209,458,11,2024-06-28,2024-08-14,26,1.4,Negative
210,86,11,2023-01-02,2023-06-28,38,1.5,Negative
211,217,3,2024-05-04,2024-08-06,33,3.2,Positive
212,87,14,2023-02-21,2023-05-11,94,4.3,Positive
213,149,20,2023-10-26,2024-01-04,100,4.8,Positive
214,445,10,2024-09-24,2025-02-12,58,3.4,Negative
215,407,9,2023-07-19,2023-11-10,18,3.1,Negative
216,395,23,2023-06-17,2023-10-15,1,4.8,Positive
217,318,3,2023-05-07,2023-06-25,0,3.0,Positive
218,78,22,2024-03-19,2024-07-02,71,1.4,Neutral
219,424,20,2023-10-02,2023-11-23,86,1.5,Negative
220,253,4,2022-11-17,2022-12-26,71,2.1,Positive
221,12,4,2024-08-13,2025-01-28,34,3.9,Negative
222,50,10,2023-07-25,2023-12-02,49,3.5,Negative
223,391,7,2024-03-05,2024-04-21,61,2.6,Negative
224,456,17,2024-01-10,2024-03-15,25,3.5,Positive
225,430,8,2024-01-02,2024-03-24,84,4.4,Positive
226,335,11,2024-06-14,2024-11-25,48,1.7,Negative
227,10,5,2023-10-05,2023-11-05,58,1.1,Positive
228,220,11,2023-12-31,2024-06-15,99,1.0,Negative
229,286,2,2023-12-27,2024-05-20,15,2.9,Neutral
230,48,6,2023-04-09,2023-06-30,15,1.7,Negative
231,179,14,2023-11-25,2024-01-12,25,1.9,Neutral
232,275,12,2024-07-08,2024-12-18,30,1.5,Neutral
233,411,20,2023-04-24,2023-07-20,86,1.6,Neutral
234,216,12,2022-12-23,2023-05-04,54,1.1,Negative
235,364,3,2023-12-03,2024-01-27,89,2.2,Neutral
236,100,13,2022-12-08,2023-05-11,10,2.8,Neutral
237,363,19,2023-04-07,2023-09-24,18,3.7,Positive
238,151,6,2023-08-19,2024-02-10,17,4.9,Positive
239,318,23,2023-10-21,2024-04-17,14,1.2,Negative
240,379,18,2023-07-11,2023-12-01,43,3.1,Positive
241,465,15,2023-07-21,2024-01-14,68,1.0,Negative
242,408,24,2023-11-11,2024-01-26,40,1.5,Neutral
243,346,14,2024-03-23,2024-08-31,13,2.9,Positive
244,450,17,2023-09-04,2023-12-12,53,2.7,Negative
245,254,20,2023-04-08,2023-07-29,51,3.8,Positive
246,119,10,2023-07-22,2023-09-19,92,4.5,Positive
247,377,19,2023-04-08,2023-05-30,47,1.1,Negative
248,82,23,2023-08-30,2024-01-19,50,3.9,Negative
249,67,1,2023-03-05,2023-07-23,26,1.4,Neutral
250,371,2,2024-04-20,2024-09-30,39,4.3,Positive
251,350,2,2023-08-22,2023-10-13,49,3.9,Negative
252,183,14,2022-12-31,2023-05-11,72,3.4,Negative
253,133,12,2024-08-18,2024-12-14,34,3.8,Neutral
254,268,4,2024-02-09,2024-07-26,38,2.4,Negative
255,156,22,2023-02-15,2023-06-27,82,4.7,Positive
256,213,18,2023-01-15,2023-04-14,4,3.8,Positive
257,276,1,2023-11-17,2024-02-28,60,4.4,Positive
258,318,6,2024-07-02,2024-09-06,24,2.9,Neutral
259,442,7,2022-10-10,2023-03-20,44,4.4,Positive
260,80,4,2023-10-18,2024-02-19,75,2.8,Positive
261,404,5,2024-09-16,2025-01-16,69,1.4,Negative
262,36,19,2023-07-09,2023-09-12,71,1.3,Negative
263,252,2,2024-01-31,2024-06-23,54,3.0,Negative
264,446,13,2023-08-26,2023-09-28,100,4.6,Positive
265,126,18,2022-10-12,2023-03-24,19,2.2,Negative
266,399,4,2023-09-07,2023-12-31,6,2.0,Negative
267,438,20,2023-10-04,2024-03-30,16,2.0,Negative
268,222,6,2024-07-29,2025-01-11,68,3.8,Neutral
269,364,10,2023-08-04,2023-10-05,60,1.7,Neutral
270,466,7,2024-07-31,2024-12-04,8,4.5,Positive
271,420,11,2023-07-23,2023-08-29,74,4.5,Positive
272,471,1,2024-05-23,2024-10-07,80,3.2,Positive
273,270,11,2022-12-15,2023-04-20,89,2.5,Positive
274,229,18,2023-12-31,2024-02-24,56,1.3,Positive
275,483,23,2024-08-19,2025-01-13,96,3.3,Negative
276,215,17,2022-12-26,2023-02-18,94,4.8,Positive
277,245,13,2023-01-27,2023-07-19,29,4.0,Positive
278,63,23,2022-12-26,2023-04-17,63,4.8,Positive
279,119,22,2023-08-03,2023-10-25,58,3.9,Positive
280,163,3,2023-04-18,2023-07-28,65,4.2,Positive
281,188,7,2023-02-01,2023-04-11,78,3.3,Neutral
282,280,20,2024-08-29,2024-10-01,0,3.8,Positive
283,493,1,2024-03-28,2024-08-22,60,1.9,Neutral
284,214,3,2024-04-19,2024-07-16,59,2.5,Positive
285,346,10,2023-06-19,2023-09-12,81,1.3,Negative
286,189,13,2024-06-11,2024-07-18,32,2.1,Neutral
287,251,14,2024-04-07,2024-06-14,55,3.1,Positive
288,16,10,2023-08-04,2023-12-06,95,1.3,Positive
289,494,17,2022-11-05,2023-03-10,49,2.7,Positive
290,225,13,2023-01-06,2023-03-26,31,3.7,Positive
291,59,17,2023-06-19,2023-07-30,53,3.0,Negative
292,488,9,2022-11-11,2023-01-17,11,1.8,Positive
293,371,8,2022-11-27,2023-02-01,49,4.2,Positive
294,213,5,2022-11-12,2023-02-03,68,3.7,Negative
295,248,19,2023-07-26,2023-10-19,75,2.5,Positive
296,81,18,2023-08-13,2023-10-16,41,3.4,Negative
297,216,3,2023-10-28,2024-02-04,76,2.9,Negative
298,51,6,2024-07-24,2024-09-22,80,2.1,Neutral
299,228,3,2023-04-07,2023-08-13,80,2.1,Neutral
300,406,14,2022-12-06,2023-04-02,39,3.5,Neutral
301,250,9,2023-10-07,2024-02-17,95,2.4,Neutral
302,230,20,2023-07-07,2023-08-06,90,2.5,Neutral
303,279,16,2023-05-16,2023-09-04,92,4.0,Positive
304,483,16,2023-01-15,2023-06-30,99,3.3,Positive
305,303,5,2023-04-28,2023-09-12,60,3.3,Positive
306,199,18,2023-12-24,2024-05-13,18,3.2,Positive
307,71,17,2024-02-29,2024-04-24,40,2.3,Negative
308,276,20,2022-12-08,2023-01-07,38,3.8,Neutral
309,225,12,2024-03-10,2024-05-25,34,4.3,Positive
310,90,8,2024-02-29,2024-06-01,50,4.9,Positive
311,203,2,2024-03-02,2024-05-04,41,1.2,Negative
312,486,21,2024-04-10,2024-05-14,89,3.3,Positive
313,202,6,2024-01-22,2024-04-16,100,3.6,Negative
314,306,7,2024-01-25,2024-05-23,52,2.4,Neutral
315,377,5,2023-04-13,2023-07-13,48,4.0,Positive
316,459,19,2023-05-07,2023-08-01,86,2.0,Negative
317,436,10,2023-03-04,2023-04-20,61,1.3,Negative
318,441,4,2023-09-24,2023-10-28,43,1.7,Negative
319,425,10,2023-12-07,2024-01-19,64,3.3,Negative
320,74,20,2022-12-03,2023-01-18,90,3.9,Neutral
321,149,10,2024-07-17,2024-10-10,38,3.9,Negative
322,240,17,2024-05-30,2024-10-13,14,1.2,Negative
323,250,18,2024-01-02,2024-02-03,40,4.9,Positive
324,121,19,2023-10-14,2024-01-10,55,2.6,Negative
325,284,12,2023-07-06,2023-12-23,18,2.5,Positive
326,130,7,2023-10-18,2024-02-23,30,1.3,Neutral
327,450,16,2023-11-06,2024-01-01,76,4.2,Positive
328,189,19,2023-06-16,2023-07-29,74,3.2,Negative
329,115,21,2024-02-24,2024-07-08,77,1.5,Negative
330,267,1,2023-05-17,2023-10-25,28,1.9,Negative
331,308,20,2023-07-31,2023-09-22,87,4.7,Positive
332,452,20,2024-03-21,2024-08-06,73,3.3,Negative
333,355,1,2024-10-05,2024-11-18,100,4.3,Positive
334,145,17,2023-09-19,2023-10-23,76,1.8,Neutral
335,498,12,2023-03-21,2023-08-07,0,3.8,Positive
336,152,2,2023-06-19,2023-12-07,6,2.9,Positive
337,200,13,2024-03-29,2024-07-10,25,3.9,Neutral
338,285,17,2023-04-02,2023-05-21,33,2.6,Positive
339,248,4,2022-11-19,2023-02-15,2,1.6,Neutral
340,159,8,2024-09-11,2025-02-25,86,1.5,Negative
341,209,18,2024-01-03,2024-05-15,32,2.2,Negative
342,180,5,2023-11-03,2023-12-29,22,1.2,Neutral
343,384,18,2024-06-28,2024-09-15,97,4.5,Positive
344,276,7,2024-09-16,2025-02-20,88,3.6,Positive
345,289,2,2023-06-01,2023-10-25,18,4.3,Positive
346,465,14,2024-05-24,2024-07-14,61,4.9,Positive
347,212,24,2022-10-27,2023-02-10,99,4.6,Positive
348,494,19,2024-06-30,2024-09-07,31,4.5,Positive
349,275,2,2023-11-10,2024-03-30,24,4.1,Positive
350,279,21,2023-08-04,2024-01-21,10,1.1,Positive
351,445,23,2024-08-28,2024-11-01,58,1.3,Positive
352,71,6,2023-04-19,2023-09-25,31,4.1,Positive
353,442,4,2023-02-14,2023-04-01,59,2.8,Neutral
354,106,2,2024-08-31,2024-10-24,91,2.3,Negative
355,216,19,2023-04-19,2023-07-13,23,1.1,Neutral
356,191,6,2023-01-25,2023-06-17,51,1.7,Positive
357,132,11,2024-04-29,2024-09-28,48,2.7,Negative
358,231,1,2023-07-26,2024-01-22,53,4.0,Positive
359,103,10,2024-07-25,2024-09-17,37,2.4,Negative
360,377,22,2024-08-19,2024-12-13,88,1.8,Neutral
361,189,12,2023-03-07,2023-06-07,0,1.1,Negative
362,466,15,2024-06-11,2024-09-19,70,2.3,Neutral
363,246,18,2024-01-20,2024-03-31,16,3.9,Positive
364,49,24,2024-04-14,2024-06-09,73,2.7,Negative
365,139,1,2024-10-01,2025-02-02,64,3.2,Negative
366,432,11,2023-11-20,2024-03-07,8,1.0,Neutral
367,363,19,2024-06-06,2024-11-29,14,1.8,Negative
368,215,18,2024-09-04,2024-11-11,45,2.2,Positive
369,435,2,2024-05-15,2024-07-20,57,3.3,Neutral
370,216,21,2022-12-18,2023-04-09,49,2.3,Positive
371,240,19,2023-06-29,2023-09-11,80,2.4,Negative
372,192,19,2024-09-16,2025-02-01,71,1.0,Neutral
373,409,20,2024-08-25,2024-10-26,81,4.3,Positive
374,124,23,2024-06-14,2024-11-02,95,3.9,Negative
375,384,13,2024-01-31,2024-06-03,4,3.5,Neutral
376,200,2,2024-10-05,2025-01-17,97,5.0,Positive
377,318,13,2024-03-02,2024-08-18,28,3.8,Negative
378,228,10,2023-10-20,2023-12-10,57,3.4,Positive
379,424,15,2024-05-14,2024-07-15,30,2.0,Positive
380,474,1,2023-08-31,2024-02-14,64,1.1,Negative
381,217,8,2024-02-26,2024-07-17,16,4.7,Positive
382,333,22,2023-08-28,2024-01-10,20,3.4,Negative
383,417,4,2024-05-18,2024-09-24,91,3.7,Negative
384,98,16,2022-12-24,2023-02-28,100,3.6,Positive
385,455,18,2023-03-05,2023-07-07,35,4.7,Positive
386,407,22,2024-02-12,2024-04-23,75,4.5,Positive
387,139,9,2022-12-15,2023-02-05,99,3.0,Negative
388,458,12,2023-05-23,2023-09-29,22,1.1,Neutral
389,395,20,2023-01-07,2023-06-18,61,2.4,Neutral
390,112,19,2023-12-09,2024-06-02,83,3.0,Negative
391,461,21,2022-10-23,2022-11-24,0,4.8,Positive
392,139,23,2023-09-10,2023-11-02,92,3.6,Positive
393,391,21,2023-07-15,2023-12-22,31,3.6,Positive
394,116,4,2024-08-07,2024-09-14,27,1.7,Positive
395,455,23,2024-07-15,2024-08-18,45,5.0,Positive
396,212,11,2023-05-11,2023-06-20,12,3.0,Positive
397,413,23,2024-08-10,2025-01-01,89,1.9,Negative
398,449,1,2023-05-22,2023-07-07,47,1.3,Neutral
399,419,5,2024-10-02,2025-01-19,44,1.7,Positive
400,139,16,2024-01-03,2024-06-21,21,1.3,Neutral
401,445,2,2022-10-26,2023-01-07,32,4.1,Positive
402,113,5,2023-02-03,2023-03-19,39,4.8,Positive
403,207,9,2023-06-04,2023-09-25,38,2.3,Negative
404,155,19,2023-12-13,2024-02-16,22,2.8,Negative
405,200,13,2023-09-24,2024-01-14,51,3.0,Negative
406,153,19,2024-02-06,2024-05-08,55,4.5,Positive
407,268,17,2024-05-03,2024-08-24,52,3.4,Negative
408,452,18,2023-09-10,2024-01-17,13,2.7,Positive
409,294,14,2024-06-15,2024-12-12,67,3.7,Negative
410,151,23,2024-04-24,2024-10-12,93,3.7,Positive
411,82,16,2023-07-12,2023-09-16,61,2.7,Neutral
412,70,2,2024-05-27,2024-11-07,86,4.1,Positive
413,425,17,2023-04-13,2023-08-20,92,3.3,Neutral
414,350,16,2024-06-30,2024-11-01,15,4.3,Positive
415,178,18,2023-09-25,2023-11-20,96,1.9,Negative
416,174,13,2023-01-05,2023-02-07,17,3.0,Positive
417,470,1,2024-07-29,2024-11-28,30,2.3,Neutral
418,204,19,2023-09-28,2024-01-01,44,4.9,Positive
419,70,15,2024-09-30,2025-02-21,63,1.1,Negative
420,384,22,2024-06-03,2024-10-12,59,2.3,Neutral
421,104,23,2024-04-28,2024-08-22,41,1.4,Neutral
422,203,21,2023-07-12,2023-11-26,5,2.7,Positive
423,471,4,2023-02-16,2023-04-10,69,4.0,Positive
424,20,13,2023-08-12,2023-12-30,14,1.7,Negative
425,375,24,2023-05-06,2023-06-08,88,1.1,Positive
426,215,12,2023-12-31,2024-04-27,46,1.3,Positive
427,198,23,2024-04-15,2024-08-22,66,4.4,Positive
428,262,10,2023-04-18,2023-09-06,56,4.5,Positive
429,450,20,2023-07-03,2023-10-10,99,4.8,Positive
430,80,21,2022-12-23,2023-05-16,5,1.6,Negative
431,204,23,2023-05-15,2023-08-24,48,4.3,Positive
432,10,20,2024-05-06,2024-07-09,68,4.0,Positive
433,87,20,2023-09-20,2023-12-11,43,3.2,Positive
434,178,5,2023-10-31,2024-02-11,94,2.1,Negative
435,236,20,2023-12-06,2024-05-08,97,4.9,Positive
436,130,1,2023-02-04,2023-05-04,46,3.6,Negative
437,10,2,2024-06-20,2024-08-13,11,3.8,Positive
438,68,24,2022-12-09,2023-05-22,59,4.2,Positive
439,250,13,2023-04-21,2023-06-24,74,3.8,Positive
440,412,5,2023-12-18,2024-01-29,24,4.7,Positive
441,371,20,2023-05-13,2023-08-20,85,1.5,Negative
442,377,7,2024-07-19,2024-08-29,47,4.4,Positive
443,101,17,2024-04-14,2024-05-16,23,2.1,Negative
444,494,23,2023-02-22,2023-05-16,92,1.5,Positive
445,53,18,2023-07-08,2023-10-12,23,3.3,Negative
446,255,16,2023-01-21,2023-07-11,24,3.2,Negative
447,404,13,2024-08-15,2024-10-17,32,1.7,Negative
448,289,23,2023-12-03,2024-04-26,79,2.5,Positive
449,219,4,2024-03-16,2024-06-29,70,2.1,Neutral
450,445,20,2024-01-21,2024-04-15,91,2.3,Neutral
451,285,1,2024-02-06,2024-07-17,85,1.1,Positive
452,134,1,2024-01-17,2024-03-13,51,1.9,Neutral
453,430,17,2023-07-19,2023-10-12,56,2.3,Neutral
454,353,10,2024-05-27,2024-07-31,96,4.0,Positive
455,178,18,2023-11-08,2024-03-10,30,1.7,Negative
456,224,8,2023-02-20,2023-06-07,59,3.2,Positive
457,178,20,2023-02-11,2023-07-08,62,3.0,Negative
458,239,1,2023-02-17,2023-07-04,39,1.9,Positive
459,430,11,2024-04-01,2024-09-26,25,1.7,Negative
460,155,21,2024-09-17,2024-10-24,37,2.9,Negative
